"Faixa Etaria 1","1998/Jan","1998/Fev","1998/Mar","1998/Abr","1998/Mai","1998/Jun","1998/Jul","1998/Ago","1998/Set","1998/Out","1998/Nov","1998/Dez","1999/Jan","1999/Fev","1999/Mar","1999/Abr","1999/Mai","1999/Jun","1999/Jul","1999/Ago","1999/Set","1999/Out","1999/Nov","1999/Dez","2000/Jan","2000/Fev","2000/Mar","2000/Abr","2000/Mai","2000/Jun","2000/Jul","2000/Ago","2000/Set","2000/Out","2000/Nov","2000/Dez","2001/Jan","2001/Fev","2001/Mar","2001/Abr","2001/Mai","2001/Jun","2001/Jul","2001/Ago","2001/Set","2001/Out","2001/Nov","2001/Dez","2002/Jan","2002/Fev","2002/Mar","2002/Abr","2002/Mai","2002/Jun","2002/Jul","2002/Ago","2002/Set","2002/Out","2002/Nov","2002/Dez","2003/Jan","2003/Fev","2003/Mar","2003/Abr","2003/Mai","2003/Jun","2003/Jul","2003/Ago","2003/Set","2003/Out","2003/Nov","2003/Dez","2004/Jan","2004/Fev","2004/Mar","2004/Abr","2004/Mai","2004/Jun","2004/Jul","2004/Ago","2004/Set","2004/Out","2004/Nov","2004/Dez","2005/Jan","2005/Fev","2005/Mar","2005/Abr","2005/Mai","2005/Jun","2005/Jul","2005/Ago","2005/Set","2005/Out","2005/Nov","2005/Dez","2006/Jan","2006/Fev","2006/Mar","2006/Abr","2006/Mai","2006/Jun","2006/Jul","2006/Ago","2006/Set","2006/Out","2006/Nov","2006/Dez","2007/Jan","2007/Fev","2007/Mar","2007/Abr","2007/Mai","2007/Jun","2007/Jul","2007/Ago","2007/Set","2007/Out","2007/Nov","2007/Dez","Total"
"Menor 1 ano",5320,5265,5935,4866,4957,5059,6052,6924,5947,5178,4830,5439,5762,6076,5625,5024,4650,4868,5242,5608,5633,4786,4881,4933,5395,5925,5160,4642,3929,4133,4647,4964,4549,4125,3867,3825,4432,4407,4215,4131,4022,4081,4714,5280,4896,4061,3744,3739,3821,4500,4430,4200,3695,3745,4049,4488,4645,4678,4109,4101,4308,4413,4561,4295,3834,3681,4337,4409,4894,4249,3893,4100,3836,4491,4843,3924,3379,3179,3352,3833,4796,4431,3668,3533,3457,3638,3860,3543,3474,3736,3920,4379,4572,3978,3716,3375,3504,3633,3584,2947,3307,3291,3341,4006,4129,3624,3371,3147,3086,2787,2740,2821,2472,2124,2006,2117,2405,2437,2708,2841,502519
"1 a 4 anos",4967,4860,4963,4112,4434,4322,5193,6321,5493,4857,4527,4904,5154,5770,5214,4682,4094,4727,5133,5806,6262,5118,4984,5174,5547,5721,5011,4610,3968,4366,5020,5456,5562,4907,4720,4645,5285,5550,5147,4917,4695,4599,5750,6410,6460,5182,4715,4739,4736,5332,5149,5406,5195,5214,5836,6764,7549,7414,6621,6453,6390,6670,6686,5873,5233,5224,6399,7275,8229,6871,6389,6316,6231,6733,6808,5362,4661,4506,4805,6165,8567,7752,6518,6148,6171,6314,6723,6008,5521,5601,5926,7617,8287,7115,6657,6059,6638,6740,6283,5405,5968,6156,6729,8267,8776,7674,6862,6423,5832,5223,5301,5375,4524,4180,4121,4649,5254,5760,5848,6251,689771
"5 a 9 anos",1229,1198,1228,1115,1083,1001,1020,1114,1165,1146,1213,1360,1462,1527,1314,1136,991,1040,1068,1141,1342,1211,1242,1350,1511,1541,1407,1327,1062,1002,1088,1084,1182,1266,1309,1342,1475,1524,1460,1375,1207,1030,1178,1234,1477,1343,1235,1330,1472,1589,1598,1704,1547,1487,1471,1590,1758,1846,1779,1804,1996,2061,2202,1728,1562,1473,1538,1518,1860,1742,1744,1889,1904,1999,1846,1485,1439,1321,1313,1496,1704,1861,1795,1773,1973,2203,2136,1925,1743,1577,1605,1734,1927,1749,1962,1887,2230,2285,2238,2089,1913,1950,1798,2042,2173,2138,2186,2067,2020,1869,1929,1884,1683,1542,1487,1732,1685,1836,1911,2055,189742
"10 a 14 anos",747,692,818,707,670,620,634,655,680,688,739,816,911,901,883,675,619,627,583,619,652,666,684,798,816,928,782,782,634,533,546,581,630,645,724,721,876,887,857,735,690,614,587,620,636,641,622,699,722,876,875,880,810,795,722,795,835,863,894,963,984,1033,1121,916,852,743,683,655,712,852,822,868,943,1005,965,763,741,672,623,607,669,744,777,763,938,985,1008,893,901,805,726,803,820,868,910,921,1042,1081,1064,1058,973,882,862,855,844,840,989,976,1037,1030,1021,923,946,817,700,803,801,862,940,988,96325
"15 a 19 anos",677,678,792,628,620,564,581,582,633,656,706,789,863,869,811,653,633,632,562,542,560,587,604,708,795,752,692,810,543,497,467,491,486,541,621,667,753,818,699,699,609,591,551,527,536,547,581,606,637,801,771,693,664,665,612,617,558,572,632,714,890,864,850,776,630,568,572,525,537,652,610,751,736,816,799,619,600,563,514,520,539,532,633,682,750,809,857,764,690,642,584,596,600,639,675,737,811,879,814,859,903,728,569,647,616,672,686,767,778,800,760,786,663,631,521,587,547,662,709,717,79978
"20 a 29 anos",1355,1276,1458,1286,1223,1097,1138,1304,1253,1242,1310,1456,1664,1690,1458,1326,1136,1119,1108,1086,1077,1133,1219,1408,1497,1487,1353,1507,980,892,945,899,981,1139,1255,1280,1424,1528,1366,1297,1244,1142,1024,1001,1071,1045,1105,1193,1330,1603,1456,1459,1182,1236,1157,1264,1167,1168,1279,1383,1634,1664,1640,1455,1228,1174,1137,1087,1143,1168,1268,1411,1447,1609,1557,1176,1209,1041,996,1013,1063,1119,1216,1338,1534,1565,1518,1452,1368,1311,1171,1228,1254,1349,1414,1381,1694,1734,1700,1554,1550,1346,1275,1242,1327,1412,1441,1533,1601,1518,1457,1464,1302,1215,1180,1201,1205,1288,1323,1591,156652
"30 a 39 anos",1095,1053,1258,1110,1062,1045,1030,1035,1173,1127,1123,1291,1467,1521,1301,1174,1061,915,945,950,949,1013,1056,1195,1212,1282,1081,1165,830,833,794,848,848,903,993,1061,1222,1269,1227,1115,1046,927,895,852,931,882,957,1046,1135,1261,1177,1196,1037,1003,974,1008,983,983,1066,1156,1335,1444,1328,1213,1007,966,914,813,909,1002,927,1068,1135,1190,1243,996,852,826,792,801,850,934,1039,1036,1149,1228,1199,1186,1138,1052,950,992,1030,1041,1081,1130,1339,1270,1284,1223,1269,1053,1017,1008,1127,1117,1126,1128,1219,1205,1191,1114,1051,920,947,947,914,1029,1068,1139,128648
"40 a 49 anos",998,974,1111,993,959,895,906,1071,1013,962,1041,1125,1356,1337,1150,1059,944,853,849,801,833,821,870,1026,1148,1089,951,1008,776,696,712,750,781,773,912,861,1060,1104,1145,978,938,825,825,810,787,795,811,910,1037,1139,1159,1009,931,868,847,889,827,835,908,1078,1228,1227,1262,1057,949,875,867,793,822,869,863,928,1067,1097,1113,884,863,756,804,761,756,824,862,952,1031,1133,1112,1049,989,914,926,902,896,970,1015,1045,1242,1186,1182,1159,1203,1019,978,983,978,959,1009,1034,1111,1066,1078,1133,987,890,875,943,821,954,972,968,116110
"50 a 59 anos",953,932,1078,945,933,929,984,987,994,971,958,1198,1397,1406,1209,1061,975,876,863,821,856,857,894,1003,1083,1149,981,914,713,683,724,687,773,779,861,880,1050,1106,1006,1010,923,824,757,749,767,770,810,833,1000,1208,1153,957,870,819,803,873,837,764,935,957,1212,1302,1309,1119,995,911,831,755,815,890,839,970,1093,1225,1203,963,899,781,748,695,763,792,849,907,1049,1123,1107,1150,1032,981,903,917,891,887,919,970,1222,1197,1212,1138,1179,1016,977,975,996,972,1043,1043,1090,1074,1068,1120,989,947,882,902,838,813,925,1002,115503
"60 a 69 anos",992,1020,1067,906,992,908,965,976,986,905,989,1209,1401,1403,1222,1108,979,853,878,827,816,830,929,1005,1220,1254,996,901,747,686,719,701,778,754,881,905,1110,1099,1074,989,955,823,843,779,790,776,786,919,1080,1268,1102,984,840,822,786,832,828,793,906,1044,1240,1367,1471,1243,1053,943,888,717,789,824,857,963,1020,1223,1331,1092,944,823,729,744,772,767,836,992,1086,1123,1190,1157,1076,1026,1008,942,914,824,984,1083,1311,1291,1249,1233,1283,1182,1007,1020,987,1028,1079,1075,1168,1111,1143,1148,1076,949,874,892,812,864,885,1001,118645
