"Faixa Etaria 1","2007/Jan","2007/Fev","2007/Ago","2007/Set","2007/Out","2007/Nov","2007/Dez","2008/Jan","2008/Fev","2008/Mar","2008/Abr","2008/Mai","2008/Jun","2008/Jul","2008/Ago","2008/Set","2008/Out","2008/Nov","2008/Dez","2009/Jan","2009/Fev","2009/Mar","2009/Abr","2009/Mai","2009/Jun","2009/Jul","2009/Ago","2009/Set","2009/Out","2009/Nov","2009/Dez","2010/Jan","2010/Fev","2010/Mar","2010/Abr","2010/Mai","2010/Jun","2010/Jul","2010/Ago","2010/Set","2010/Out","2010/Nov","2010/Dez","2011/Jan","2011/Fev","2011/Mar","2011/Abr","2011/Mai","2011/Jun","2011/Jul","2011/Ago","2011/Set","2011/Out","2011/Nov","2011/Dez","2012/Jan","2012/Fev","2012/Mar","2012/Abr","2012/Mai","2012/Jun","2012/Jul","2012/Ago","2012/Set","2012/Out","2012/Nov","2012/Dez","2013/Jan","2013/Fev","2013/Mar","2013/Abr","2013/Mai","2013/Jun","2013/Jul","2013/Ago","2013/Set","2013/Out","2013/Nov","2013/Dez","2014/Jan","2014/Fev","2014/Mar","2014/Abr","2014/Mai","2014/Jun","2014/Jul","2014/Ago","2014/Set","2014/Out","2014/Nov","2014/Dez","2015/Jan","2015/Fev","2015/Mar","2015/Abr","2015/Mai","2015/Jun","2015/Jul","2015/Ago","2015/Set","2015/Out","2015/Nov","2015/Dez","2016/Jan","2016/Fev","2016/Mar","2016/Abr","2016/Mai","2016/Jun","2016/Jul","2016/Ago","2016/Set","2016/Out","2016/Nov","2016/Dez","2017/Jan","2017/Fev","2017/Mar","2017/Abr","2017/Mai","2017/Jun","2017/Jul","2017/Ago","2017/Set","2017/Out","2017/Nov","2017/Dez","2018/Jan","2018/Fev","2018/Mar","2018/Abr","2018/Mai","2018/Jun","2018/Jul","2018/Ago","2018/Set","2018/Out","2018/Nov","2018/Dez","2019/Jan","2019/Fev","2019/Mar","2019/Abr","2019/Mai","2019/Jun","2019/Jul","2019/Ago","2019/Set","2019/Out","2019/Nov","2019/Dez","2020/Jan","2020/Fev","2020/Mar","2020/Abr","2020/Mai","2020/Jun","2020/Jul","2020/Ago","2020/Set","2020/Out","2020/Nov","2020/Dez","2021/Jan","2021/Fev","2021/Mar","2021/Abr","2021/Mai","2021/Jun","2021/Jul","2021/Ago","2021/Set","2021/Out","2021/Nov","2021/Dez","2022/Jan","2022/Fev","2022/Mar","2022/Abr","2022/Mai","2022/Jun","2022/Jul","2022/Ago","2022/Set","2022/Out","2022/Nov","2022/Dez","2023/Jan","2023/Fev","2023/Mar","2023/Abr","Total"
"Menor 1 ano",1,0,21,28,108,311,1270,3066,2971,2729,2719,2010,1620,1797,2019,2195,2067,1961,2051,2553,2630,2711,1912,1680,1524,1662,1661,1895,2146,2730,2634,3441,3348,2546,1854,1783,1382,1655,1999,1975,1857,1883,1871,2107,1796,1653,1324,1180,1176,1281,1716,1699,1699,1906,1749,1734,1687,1887,1603,1502,1700,2007,2026,1670,1591,1364,1297,1590,1459,1452,1318,1196,1229,1172,1253,1347,1567,1568,1669,1932,1747,1567,1248,1128,1085,1116,1481,1377,1406,1216,1127,1310,1216,1402,1075,1034,898,966,1044,1135,1194,1136,1123,1410,1737,1755,1412,1183,1127,1200,1489,1318,1227,1114,1001,1286,1205,1216,929,929,847,836,923,998,1115,1058,1114,1376,1344,1593,1143,1041,709,816,936,968,1166,1018,1162,1407,1301,1245,1157,1003,859,875,1075,1114,1119,1038,1049,1338,1271,908,345,335,364,402,421,539,657,613,649,699,611,542,453,468,468,580,749,838,868,954,820,640,740,825,758,693,675,676,823,688,809,702,659,758,599,555,304,248152
"1 a 4 anos",0,0,32,72,203,579,2292,6157,5724,5832,6421,4665,3822,4584,5809,6214,5488,4474,4170,5514,5258,6078,4305,3899,3508,3825,3977,4344,4878,6124,5950,8010,7020,5818,4712,4371,3935,4892,6827,6296,5099,5085,4806,5299,4860,4046,3368,3176,2951,3202,4272,4297,4279,4856,4222,4064,4180,4925,4051,3911,4490,5161,5304,4664,4278,3692,3606,4824,4499,4312,3737,3845,3553,3118,3593,3910,4170,4196,4243,5322,4839,4637,3812,3284,3052,3353,4796,4868,4054,3249,2880,3359,2913,3612,2984,2630,2268,2568,2833,2668,2714,2579,2558,3412,4927,4541,3670,3089,2998,3608,4517,3987,3481,2837,2405,3353,3291,3511,2670,2820,2428,2256,2766,2891,3111,2639,2522,3511,3266,4027,2986,2439,1833,2024,2475,2699,2679,2581,2652,3517,3037,3236,2895,2662,1986,2220,2684,2969,3002,2766,2424,3271,3175,2375,735,588,720,764,896,1098,1296,1548,1639,1833,1521,1286,1071,1180,1297,1605,2295,2573,2562,2799,2352,1634,1881,2393,2144,2085,1846,1910,2197,2068,2092,1969,1752,2040,1738,1503,734,636820
"5 a 9 anos",0,0,10,26,73,182,679,1926,1920,2115,2478,1813,1467,1485,1821,1983,1961,1619,1445,1856,1834,2348,1699,1734,1568,1503,1531,1578,1720,1941,1818,2093,1887,1946,1688,1771,1601,2005,2887,2825,2243,2129,2054,2238,1888,1731,1367,1390,1352,1349,1656,1670,1788,1784,1732,1648,1553,1880,1557,1473,1494,1544,1940,1849,1841,1543,1539,1874,1835,1842,1818,1820,1627,1409,1422,1692,1767,1689,1594,1844,1675,1633,1395,1467,1386,1438,2238,2305,1923,1493,1339,1445,1229,1389,1125,1067,1027,1143,1153,1135,1174,1137,1105,1473,1807,1639,1297,1082,1115,1330,1770,1629,1390,1196,970,1341,1349,1420,995,1116,1051,965,1168,1312,1414,1183,1028,1294,1124,1178,1089,954,756,749,963,1088,1148,1029,998,1295,1008,1036,1045,1076,838,797,1001,1202,1236,1196,995,1256,1259,1026,377,279,319,332,351,444,500,540,557,628,535,396,400,437,431,485,657,623,708,764,681,604,600,803,790,832,749,837,993,1033,1037,980,807,949,745,680,346,246627
"10 a 14 anos",0,1,5,12,39,109,342,936,1011,1062,1295,985,679,699,760,844,805,710,743,972,977,1221,933,927,786,745,834,758,820,944,822,1012,1007,1055,852,966,729,866,1025,1045,900,972,917,1172,990,953,769,757,690,659,772,713,813,876,839,797,835,890,794,740,734,708,814,727,756,719,659,892,851,971,820,884,799,625,635,671,707,700,728,815,762,787,611,641,547,602,730,772,726,620,548,668,615,611,582,542,456,514,571,533,564,571,531,666,778,728,580,496,444,476,634,580,543,509,415,581,666,627,501,558,439,403,457,510,530,489,484,556,526,562,492,441,342,383,429,458,460,454,471,604,493,446,452,438,374,392,402,410,491,502,432,519,563,462,210,160,173,159,169,221,255,246,245,222,216,171,192,189,193,209,266,277,273,276,277,239,256,353,272,294,274,286,336,309,380,328,275,397,333,278,114,111471
"15 a 19 anos",0,0,5,5,37,76,268,876,757,881,974,696,533,522,580,585,552,563,548,756,776,809,698,681,584,622,573,574,634,689,697,798,825,825,664,715,627,659,653,697,718,728,727,847,717,733,650,554,492,493,633,538,649,694,694,700,664,782,630,612,633,604,645,607,596,561,629,749,685,807,679,659,604,521,500,523,554,560,565,672,598,593,554,541,468,501,517,541,576,518,519,537,505,572,495,431,394,421,414,438,482,474,443,614,672,602,418,356,343,358,354,380,383,351,318,501,464,512,361,426,341,328,351,341,422,372,391,474,458,487,406,347,276,291,315,364,368,357,382,462,398,398,356,345,280,292,304,320,379,354,340,426,422,314,155,156,150,156,137,163,178,182,157,184,200,146,146,124,143,152,210,210,221,236,183,182,181,209,211,216,212,187,227,263,244,214,248,265,248,205,109,87038
"20 a 29 anos",0,0,13,16,61,152,622,1577,1545,1606,1722,1416,1043,1196,1232,1203,1240,1197,1142,1568,1527,1679,1382,1315,1160,1161,1151,1233,1309,1338,1436,1542,1491,1604,1383,1442,1242,1303,1462,1375,1328,1550,1499,1693,1401,1353,1125,1103,988,1036,1133,1105,1189,1339,1289,1358,1330,1389,1190,1086,1111,1142,1155,1047,1055,1005,1118,1376,1276,1320,1087,1137,1148,919,889,956,982,1005,1017,1233,1050,1101,991,941,812,873,856,949,972,874,885,998,888,1066,876,784,738,755,763,775,901,830,781,972,1161,1000,747,612,545,620,639,633,684,643,618,824,793,780,621,640,586,625,568,593,656,660,720,909,750,762,680,582,520,503,534,637,679,662,695,828,645,670,592,589,502,518,615,571,676,589,652,783,738,557,338,262,265,277,318,346,362,404,366,400,400,278,265,283,264,316,402,410,443,439,451,311,357,467,414,419,369,352,449,395,442,416,423,544,484,351,200,162067
"30 a 39 anos",0,0,8,11,50,136,446,1226,1201,1279,1362,1111,882,894,905,953,957,903,920,1182,1166,1310,1128,1077,923,969,892,917,985,1155,1142,1334,1223,1288,1101,1126,967,1023,1054,1085,1094,1094,1163,1297,1130,1056,982,868,777,797,946,891,964,1077,1039,1128,998,1137,976,946,939,944,995,903,949,891,1005,1168,1075,1102,1038,1009,922,852,734,824,839,865,905,1064,946,897,879,808,702,786,816,882,869,805,831,825,739,856,714,720,598,641,709,741,700,680,691,843,1001,864,670,515,492,514,551,575,608,595,525,744,683,644,529,578,491,486,515,553,571,550,576,679,605,656,585,508,453,471,523,544,601,614,569,691,581,503,554,521,411,464,442,513,580,563,557,649,651,527,307,246,250,256,267,274,375,358,350,327,311,274,258,275,235,252,351,346,365,359,372,234,284,392,338,352,319,342,374,358,379,328,390,472,401,327,180,135075
"40 a 49 anos",0,1,8,18,42,108,391,1164,1069,1191,1282,1071,823,812,887,845,900,831,826,1172,1018,1241,1049,973,864,871,850,923,873,1025,1022,1232,1146,1218,1007,1058,867,984,1009,1018,989,942,1076,1202,1102,989,837,728,698,756,836,810,893,918,943,955,916,954,857,831,830,876,876,796,816,776,834,959,963,966,902,873,779,759,655,703,826,705,756,910,795,873,761,679,621,656,638,732,722,680,730,764,662,756,670,596,568,606,628,583,639,628,633,777,886,806,651,468,460,446,588,537,494,473,480,567,593,602,481,494,460,435,425,473,523,513,539,643,590,573,475,452,370,462,474,477,500,559,540,579,520,497,512,503,437,378,449,458,491,484,493,581,542,437,294,265,221,241,249,268,375,303,293,315,271,226,226,284,253,299,267,339,382,343,301,288,275,365,328,325,290,317,350,357,375,343,346,440,416,335,149,122062
"50 a 59 anos",0,0,8,11,39,104,459,1130,1096,1147,1353,1035,805,831,881,812,829,760,867,1133,1080,1255,962,931,903,887,821,805,838,948,977,1226,1121,1102,965,999,873,906,1012,1007,996,1033,1073,1184,1071,1026,832,779,735,728,732,765,853,945,893,969,867,962,853,831,847,868,903,786,797,784,807,1014,954,1019,993,980,863,820,666,738,766,724,792,985,829,838,738,715,653,658,738,792,763,658,765,842,712,837,751,728,575,623,616,644,694,688,685,772,952,851,651,573,517,512,591,533,551,531,554,660,659,707,551,582,497,458,550,476,554,532,542,697,632,638,584,497,421,466,468,507,535,573,584,675,580,586,554,562,426,445,494,511,536,546,578,585,585,459,262,247,220,209,240,260,309,325,298,297,289,208,258,233,211,265,300,328,371,357,331,284,309,347,393,331,303,303,367,369,399,366,361,416,345,325,174,124983
"60 a 69 anos",0,0,8,18,33,107,422,1187,1204,1256,1337,1134,760,839,827,870,805,758,859,1180,1101,1348,1048,1020,890,806,764,839,863,958,1020,1248,1179,1148,1044,1044,982,990,991,921,966,1022,1031,1263,1123,1029,776,770,732,739,828,745,785,921,917,946,950,1038,927,867,819,900,898,818,816,781,901,1121,1057,1126,1062,1109,1001,836,731,728,755,778,833,1058,925,878,791,727,698,657,761,818,800,658,763,849,730,804,782,745,628,660,688,636,693,693,688,827,1075,983,746,628,531,583,632,599,608,605,569,787,653,752,663,628,584,549,548,504,598,640,622,836,703,737,642,559,441,466,474,547,558,580,627,746,610,640,655,590,502,530,520,546,624,596,583,690,655,583,325,263,263,269,281,304,365,387,329,343,296,242,258,238,227,270,295,374,367,400,425,336,356,458,400,386,340,363,407,388,394,399,431,510,434,396,217,132273
