"Menor 1 ano","1 a 4 anos","5 a 14 anos","60 anos e mais","15 a 59 anos"
3417575.65756558,13896934.3424344,34792554,14235731,107105551
3417575.65756558,13896934.3424344,34792554,14235731,107105551
3417575.65756558,13896934.3424344,34792554,14235731,107105551
3417575.65756558,13896934.3424344,34792554,14235731,107105551
3417575.65756558,13896934.3424344,34792554,14235731,107105551
3417575.65756558,13896934.3424344,34792554,14235731,107105551
3417575.65756558,13896934.3424344,34792554,14235731,107105551
3417575.65756558,13896934.3424344,34792554,14235731,107105551
3417575.65756558,13896934.3424344,34792554,14235731,107105551
3417575.65756558,13896934.3424344,34792554,14235731,107105551
3417575.65756558,13896934.3424344,34792554,14235731,107105551
3417575.65756558,13896934.3424344,34792554,14235731,107105551
3421350.98644305,13912286.0135569,34655399,14608484,109287709
3421350.98644305,13912286.0135569,34655399,14608484,109287709
3421350.98644305,13912286.0135569,34655399,14608484,109287709
3421350.98644305,13912286.0135569,34655399,14608484,109287709
3421350.98644305,13912286.0135569,34655399,14608484,109287709
3421350.98644305,13912286.0135569,34655399,14608484,109287709
3421350.98644305,13912286.0135569,34655399,14608484,109287709
3421350.98644305,13912286.0135569,34655399,14608484,109287709
3421350.98644305,13912286.0135569,34655399,14608484,109287709
3421350.98644305,13912286.0135569,34655399,14608484,109287709
3421350.98644305,13912286.0135569,34655399,14608484,109287709
3421350.98644305,13912286.0135569,34655399,14608484,109287709
3416556.57339167,13892790.4266083,34570933,14997518,111398330
3416556.57339167,13892790.4266083,34570933,14997518,111398330
3416556.57339167,13892790.4266083,34570933,14997518,111398330
3416556.57339167,13892790.4266083,34570933,14997518,111398330
3416556.57339167,13892790.4266083,34570933,14997518,111398330
3416556.57339167,13892790.4266083,34570933,14997518,111398330
3416556.57339167,13892790.4266083,34570933,14997518,111398330
3416556.57339167,13892790.4266083,34570933,14997518,111398330
3416556.57339167,13892790.4266083,34570933,14997518,111398330
3416556.57339167,13892790.4266083,34570933,14997518,111398330
3416556.57339167,13892790.4266083,34570933,14997518,111398330
3416556.57339167,13892790.4266083,34570933,14997518,111398330
3402970.95561014,13837547.0443899,34528705,15411837,113438048
3402970.95561014,13837547.0443899,34528705,15411837,113438048
3402970.95561014,13837547.0443899,34528705,15411837,113438048
3402970.95561014,13837547.0443899,34528705,15411837,113438048
3402970.95561014,13837547.0443899,34528705,15411837,113438048
3402970.95561014,13837547.0443899,34528705,15411837,113438048
3402970.95561014,13837547.0443899,34528705,15411837,113438048
3402970.95561014,13837547.0443899,34528705,15411837,113438048
3402970.95561014,13837547.0443899,34528705,15411837,113438048
3402970.95561014,13837547.0443899,34528705,15411837,113438048
3402970.95561014,13837547.0443899,34528705,15411837,113438048
3402970.95561014,13837547.0443899,34528705,15411837,113438048
3380487.54672349,13746122.4532765,34503548,15865723,115415606
3380487.54672349,13746122.4532765,34503548,15865723,115415606
3380487.54672349,13746122.4532765,34503548,15865723,115415606
3380487.54672349,13746122.4532765,34503548,15865723,115415606
3380487.54672349,13746122.4532765,34503548,15865723,115415606
3380487.54672349,13746122.4532765,34503548,15865723,115415606
3380487.54672349,13746122.4532765,34503548,15865723,115415606
3380487.54672349,13746122.4532765,34503548,15865723,115415606
3380487.54672349,13746122.4532765,34503548,15865723,115415606
3380487.54672349,13746122.4532765,34503548,15865723,115415606
3380487.54672349,13746122.4532765,34503548,15865723,115415606
3380487.54672349,13746122.4532765,34503548,15865723,115415606
3350722.90675193,13625090.0932481,34470516,16367881,117336596
3350722.90675193,13625090.0932481,34470516,16367881,117336596
3350722.90675193,13625090.0932481,34470516,16367881,117336596
3350722.90675193,13625090.0932481,34470516,16367881,117336596
3350722.90675193,13625090.0932481,34470516,16367881,117336596
3350722.90675193,13625090.0932481,34470516,16367881,117336596
3350722.90675193,13625090.0932481,34470516,16367881,117336596
3350722.90675193,13625090.0932481,34470516,16367881,117336596
3350722.90675193,13625090.0932481,34470516,16367881,117336596
3350722.90675193,13625090.0932481,34470516,16367881,117336596
3350722.90675193,13625090.0932481,34470516,16367881,117336596
3350722.90675193,13625090.0932481,34470516,16367881,117336596
3305930.96958643,13442952.0304136,34474219,16918642,119193393
3305930.96958643,13442952.0304136,34474219,16918642,119193393
3305930.96958643,13442952.0304136,34474219,16918642,119193393
3305930.96958643,13442952.0304136,34474219,16918642,119193393
3305930.96958643,13442952.0304136,34474219,16918642,119193393
3305930.96958643,13442952.0304136,34474219,16918642,119193393
3305930.96958643,13442952.0304136,34474219,16918642,119193393
3305930.96958643,13442952.0304136,34474219,16918642,119193393
3305930.96958643,13442952.0304136,34474219,16918642,119193393
3305930.96958643,13442952.0304136,34474219,16918642,119193393
3305930.96958643,13442952.0304136,34474219,16918642,119193393
3305930.96958643,13442952.0304136,34474219,16918642,119193393
3260411.87648511,13257857.1235149,34443735,17520100,120980651
3260411.87648511,13257857.1235149,34443735,17520100,120980651
3260411.87648511,13257857.1235149,34443735,17520100,120980651
