"Faixa Etaria","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"0 a 4 anos",17314510,17333637,17309347,17240518,17126610,16975813,16748883,16518269,16284481,16049820,15816957,15587805,15363958,15147056,14938133,14737740,14545488,14360778,14182966,14011332,13845258,13684541,13528622,13376432
"5 a 9 anos",17273758,17252925,17241043,17236778,17237068,17230352,17254039,17234647,17170904,17062172,16916587,16695060,16469622,16240430,16009509,15779109,15551873,15329961,15114823,14907522,14708594,14517525,14333818,14156987
"10 a 14 anos",17518796,17402474,17329890,17291927,17266480,17240164,17220180,17209088,17205581,17206586,17200577,17225082,17206777,17144166,17036612,16892243,16672044,16447927,16220015,15990363,15761172,15534788,15313372,15098723
"15 a 19 anos",18097555,18119828,18006076,17806344,17602425,17447357,17332309,17260627,17223245,17198226,17172257,17153030,17143273,17141387,17144248,17140200,17166564,17150098,17089362,16983733,16841311,16623017,16400447,16174019
"20 a 29 anos",30815410,31490857,32221743,32955624,33614785,34148588,34563265,34857988,35038056,35119421,35116660,35028394,34850594,34622971,34404196,34233231,34109255,34038050,34008604,33996173,33976082,33991839,33973086,33917656
"30 a 39 anos",25933988,26271621,26573155,26865008,27185879,27560859,27984156,28450459,28965759,29536642,30161388,30836584,31566134,32298433,32957427,33493662,33913740,34216865,34408072,34503246,34516847,34445992,34285952,34076454
"40 a 49 anos",19707919,20348754,20991951,21624936,22229587,22794503,23321778,23813086,24267264,24683665,25065005,25413209,25726603,26030557,26362474,26746623,27177692,27650731,28171378,28746122,29373328,30049155,30777186,31507558
"50 a 59 anos",12550679,13056649,13605405,14186136,14782930,15385289,15991885,16598491,17206992,17822490,18446512,19075145,19707179,20330396,20927345,21486956,22011315,22501900,22957419,23377297,23764121,24119310,24441265,24754298
"60 a 69 anos",8007183,8201379,8403579,8620390,8861316,9133058,9434489,9764272,10127078,10528437,10970425,11450616,11968232,12514082,13074884,13641753,14213595,14786743,15362756,15946086,16537954,17134574,17734688,18326992
"70 a 79 anos",4456082,4589174,4718275,4846867,4980323,5122230,5272780,5433381,5602330,5776185,5953553,6136198,6324432,6524142,6744057,6990107,7261587,7557969,7881840,8236034,8621157,9035655,9479045,9944641
"80 anos e mais",1772466,1817931,1875664,1944580,2024084,2112593,2211373,2322447,2440749,2560325,2677876,2795895,2915658,3039094,3169677,3309025,3458279,3619907,3789567,3961105,4131551,4304062,4480028,4664964
"Total",173448346,175885229,178276128,180619108,182911487,185150806,187335137,189462755,191532439,193543969,195497797,197397018,199242462,201032714,202768562,204450649,206081432,207660929,209186802,210659013,212077375,213440458,214747509,215998724
